[ 2026-09-14 19:07:25,948 ] 21 root - INFO - Initiate the data ingestion
[ 2026-09-14 19:07:27,535 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-14 19:07:27,536 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-14 19:07:27,536 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-14 19:07:27,591 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-14 19:07:27,591 ] 23 root - INFO - Data Initiation Completed
[ 2026-09-14 19:07:27,616 ] 28 root - INFO - Initiate the data Validation
[ 2026-09-14 19:07:27,772 ] 32 root - INFO - Required number of columns:2
[ 2026-09-14 19:07:27,772 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-14 19:07:27,773 ] 32 root - INFO - Required number of columns:2
[ 2026-09-14 19:07:27,774 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-14 19:07:27,960 ] 30 root - INFO - data Validation Completed
