[ 2026-09-14 19:15:38,038 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-14 19:15:41,664 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-14 19:15:41,664 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-14 19:15:41,664 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-14 19:15:41,741 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-14 19:15:41,742 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-14 19:15:41,750 ] 27 root - INFO - Initiate the data Validation
[ 2026-09-14 19:15:41,914 ] 32 root - INFO - Required number of columns:2
[ 2026-09-14 19:15:41,915 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-14 19:15:41,916 ] 32 root - INFO - Required number of columns:2
[ 2026-09-14 19:15:41,916 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-14 19:15:42,214 ] 29 root - INFO - data Validation Completed
[ 2026-09-14 19:15:42,215 ] 33 root - INFO - data Transformation started
[ 2026-09-14 19:15:42,215 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-14 19:15:42,215 ] 65 root - INFO - Starting data transformation
[ 2026-09-14 19:15:42,265 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-14 19:15:42,265 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-14 19:15:42,337 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-14 19:15:42,340 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-14 19:15:42,340 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-14 19:15:42,342 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-14 19:15:42,344 ] 37 root - INFO - data Transformation completed
